City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,Bairiki,1.3292,172.9752,80.6,78,20,9.22,KI,2022-04-07 14:32:12
266,San Antonio,29.4241,-98.4936,65.16,22,0,14.97,US,2022-04-07 14:27:27
267,Aranos,-24.1333,19.1167,82.98,19,80,2.51,NA,2022-04-07 14:32:12
268,Poum,-20.2333,164.0167,81.16,83,100,22.77,NC,2022-04-07 14:32:12
269,Sabang,5.8933,95.3214,83.23,70,90,6.85,ID,2022-04-07 14:32:13
270,Berlevag,70.8578,29.0864,31.8,89,100,22.62,NO,2022-04-07 14:32:13
271,Nipawin,53.3668,-104.0009,24.84,86,0,4.61,CA,2022-04-07 14:32:13
272,Aktash,50.3,87.7333,30.27,93,100,1.99,RU,2022-04-07 14:32:14
273,Acapulco,16.8634,-99.8901,71.42,94,75,3.44,MX,2022-04-07 14:27:27
274,Kidal,18.4411,1.4078,106.88,3,6,9.08,ML,2022-04-07 14:32:14
275,Ishigaki,24.3448,124.1572,69.93,73,48,18.41,JP,2022-04-07 14:32:14
276,Lagos,6.5833,3.75,90.43,56,78,8.93,NG,2022-04-07 14:28:28
277,Portland,45.5234,-122.6762,50.18,70,40,3.0,US,2022-04-07 14:28:48
278,Korla,41.7597,86.1469,70.7,15,0,5.5,CN,2022-04-07 14:32:15
279,Plettenberg Bay,-34.0527,23.3716,61.59,60,20,10.45,ZA,2022-04-07 14:33:15
280,Padang,-0.9492,100.3543,78.01,78,100,4.5,ID,2022-04-07 14:33:15
281,Pouebo,-20.4,164.5667,78.21,88,100,16.46,NC,2022-04-07 14:33:16
282,Neuquen,-38.9516,-68.0591,62.49,67,0,3.44,AR,2022-04-07 14:33:16
283,Chapais,49.7834,-74.8492,35.38,74,100,14.61,CA,2022-04-07 14:33:16
284,Aden,12.7794,45.0367,81.28,76,100,12.08,YE,2022-04-07 14:33:17
285,Rafai,4.95,23.9167,78.51,71,98,1.07,CF,2022-04-07 14:33:17
286,Parkersburg,39.2667,-81.5615,55.17,84,100,4.61,US,2022-04-07 14:30:15
287,Tromso,69.6496,18.957,35.62,60,0,16.11,NO,2022-04-07 14:33:17
288,Sun Valley,39.5963,-119.776,52.16,45,0,4.61,US,2022-04-07 14:33:18
289,Viedma,-40.8135,-62.9967,65.53,58,92,15.68,AR,2022-04-07 14:33:18
290,Matay,28.419,30.7792,103.42,6,52,6.49,EG,2022-04-07 14:30:28
291,Kandrian,-6.2167,149.55,77.29,88,99,4.65,PG,2022-04-07 14:33:18
